"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"ALAMOSA BOWL FAMILY FUN CENTER LLC","ALAMOSA BOWL FAMILY FUN CENTER","03-09731","Hotel & Restaurant (city)","2019-05-22","204 VICTORIA AVENUE","Alamosa","CO",81101
"WALMART INC.","WAL MART SUPERCENTER #869","09-49518-0002","Fermented Malt Beverage Off (city)","2019-04-18","3333 CLARK STREET","Alamosa","CO",811012272
"B P O ELKS LODGE1297","B P O ELKS LODGE 1297","07-01952-0001","Club License (city)","2019-03-09","406 HUNT AVENUE","ALAMOSA","CO",811012678
"PESTER MARKETING CO","ALTA CONVENIENCE","80-24116-0115","Fermented Malt Beverage Off (city)","2020-04-26","412 DENVER","Alamosa","CO",811012657
"SAN LUIS VALLEY BREWING COMPANY LLC","SAN LUIS VALLEY BREWING COMPANY","41-98825-0000","Brew Pub (city)","2019-11-01","428 SAN JUAN AVE","Alamosa","CO",811012554
"SAN LUIS & RIO GRANDE RAILROAD INC","RIO GRANDE SCENIC RAILROAD","28-31348-0002","Optional Premises (county)","2017-05-26","601 STATE AVE","Alamosa","CO",811012619
"ATENCIO'S ENTERPRISES INC","ATENCIO'S MARKET","23-88813-0000","Fermented Malt Beverage Off (city)","2020-02-06","802 STATE STREET","Alamosa","CO",811013140
"KRISTA GARCIA, JAVIER MARTINEZ; JK LLP","THE WET PAINTBRUSH","03-07809","Beer & Wine (city)","2019-05-03","1307 MAIN STREET SUITE A","Alamosa","CO",81101
"IKE & IKE INC","EL CHARRO CAFE","03-05379","Hotel & Restaurant (city)","2019-10-27","1605 MAIN STREET","Alamosa","CO",81101
"PESTER MARKETING CO","ALTA CONVENIENCE","80-24116-0126","Fermented Malt Beverage On/Off (city)","2019-05-21","725 STATE AVENUE","Alamosa","CO",811013145
"WEEKENDS TAVERN LLC","WEEKENDS TAVERN","03-02021","Tavern (city)","2020-03-09","2065 1ST STREET","Alamosa","CO",81101
"SLV WINE AND SPIRITS","TERRYS LIQUOR","42-73407-0000","Liquor Store (city)","2019-09-30","408 DENVER AVE","Alamosa","CO",811012657
"SODEXO AMERICA LLC","SODEXO","03-10357","Related Facility Permit (City)","2019-07-20","1601 1ST STREET","Alamosa","CO",81102
"NINO'S DEL SOL, LLC","NINO'S DEL SOL","03-06581","Hotel & Restaurant (city)","2019-06-26","326 MAIN STREET","Alamosa","CO",81101
"MT BLANCA VFW #899","MT BLANCA POST 899","07-01515-0003","Club License (city)","2019-12-31","519 MAIN ST","Alamosa","CO",81101
"JDT PURPLE PIG LLC","PURPLE PIG PIZZERIA PUB","03-10259","Tavern (city)","2019-10-15","624 MAIN STREET","Alamosa","CO",81101
"SLV PIZZA CO","THE SAN LUIS VALLEY PIZZA CO","03-07681","Hotel & Restaurant (city)","2019-05-08","1210 8TH STREET","Alamosa","CO",81101
"BRINKER RESTAURANT CORPORATION","CHILI'S GRILL & BAR","10-82383-0064","Hotel & Restaurant (city)","2019-09-06","3231 MAIN STREET","Alamosa","CO",811018517
"NAGRA LLC","DISCOUNT LIQUOR","03-03435","Liquor Store (county)","2019-09-24","151 BROADWAY AVE","Alamosa","CO",81101
"AIRPORT LIQUOR LLC","AIRPORT LIQUOR","03-01458","Liquor Store (city)","2019-07-01","1619 STATE AVENUE","Alamosa","CO",81101
"JUANITO'S MEXICAN KITCHEN LLC","JUANITO'S MEXICAN KITCHEN LLC","25-60493-0000","Hotel & Restaurant (city)","2019-11-14","1019 6TH ST","Alamosa","CO",811012415
"WAPITI WALK LLC","BISTRO RIALTO","26-46614-0000","Hotel & Restaurant (city)","2019-11-22","716 MAIN ST","Alamosa","CO",811012540
"DICKEY SPRINGER POST 113","DICKEY SPRINGER POST113 AMERICAN LEGION","07-02362-0001","Club License (city)","2019-12-31","514 4TH ST","Alamosa","CO",81101
"CALVILLO INC","CALVILLO'S","41-38200-0000","Hotel & Restaurant (city)","2019-10-27","400 MAIN ST","Alamosa","CO",811012618
"WOODY'S Q SHACK, LLC","WOODY'S Q SHACK, LLC","03-10344","Hotel & Restaurant / Optional (city)","2019-10-10","6615 NORTH RIVER ROAD","Alamosa","CO",81101
"COLUMBUS HOME ASSOOF ALAMOSA INC THE","KNIGHTS OF COLUMBUS HOME ASSC OF ALAMOSA","07-11568-0003","Tavern (city)","2019-10-05","1112 8TH STREET","Alamosa","CO",81101
"THAI HUT LLC","THAI HUT","03-07665","Hotel & Restaurant (city)","2019-04-10","525 MAIN STREET","Alamosa","CO",81101
"TONG JOHNATHAN S THONG RAYMOND","MAY-WA CHINESE RESTAURANT","40-57257-0000","Beer & Wine (city)","2019-04-23","620 MAIN ST","Alamosa","CO",81101
"SODEXO AMERICA LLC","SODEXO","26-35517-0257","Campus Liquor Complex (City)","2019-07-21","1601 1ST STREET","Alamosa","CO",81102
"TRUJILLO'S ST IVES LLC","ST IVES","41-93184-0000","Hotel & Restaurant (city)","2019-12-26","719 MAIN ST","Alamosa","CO",81101
"HSU INC","HUNAN CHINESE RESTAURANT OF ALAMOSA","41-31458-0001","Hotel & Restaurant (city)","2020-02-17","419 MAIN STREET","Alamosa","CO",811012617
"MINI MART INC","LOAF N JUG #10","03-27943-0036","Fermented Malt Beverage Off (county)","2019-02-21","102 HIGHWAY 160 EAST","Alamosa","CO",81101
"SAN LUIS & RIO GRANDE RAILROAD INC","RIO GRANDE SCENIC RAILROAD","28-31348-0001","Public Transportation","2019-03-31","601 STATE AVE","Alamosa","CO",811012619
"SOCIETY HALL FOUNDATION","SOCIETY HALL FOUNDATION","03-06484","Beer & Wine (city)","2019-06-16","400 ROSS AVENUE","Alamosa","CO",81101
"ALAMOSA LODGING LLC","RODEWAY - COUNTRY KITCHEN","03-03059","Hotel & Restaurant (county)","2019-06-29","333 SANTA FE AVE","Alamosa","CO",81101
"DILLON COMPANIES LLC","CITY MARKET #22","01-10779-0138","Fermented Malt Beverage Off (city)","2019-09-17","131 MARKET ST","Alamosa","CO",81101
"TEMPURA HOUSE LLC","TEMPURA HOUSE","03-10740","Hotel & Restaurant (city)","2019-11-12","916 MAIN STREET","Alamosa","CO",81101
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","03-07679","Wholesale Beer (malt liquor)","2019-04-06","625 MAIN STREET","Alamosa","CO",81101
"MARIA DE LOURDES LOPEZ","CALVILLOS LIQUOR","03-05453","Liquor Store (city)","2019-06-26","407 MAIN STREET","Alamosa","CO",81101
"PS LIQUOR LLC","BEER KEG DEPOT","03-00643","Liquor Store (city)","2020-01-17","603 DEL SOL DRIVE","Alamosa","CO",81101
"OROZCO OSCAR OROZCO DELORES L","OSCAR REST","07-08157-0000","Hotel & Restaurant (city)","2020-01-02","520 MAIN ST","Alamosa","CO",811012644
"THE COLORADO FARM BREWERY LLC","THE COLORADO FARM BREWERY LLC","03-08663","Wholesale Beer (malt liquor)","2020-01-21","2070 COUNTY ROAD 12 SOUTH","Alamosa","CO",81101
"WIZE APPLES/LINDA CADE","WIZE APPLES","03-07682","Hotel & Restaurant (city)","2019-04-25","408 4TH STREET","Alamosa","CO",81101
"LUJAN ALVIN A","BANK SHOT","07-11779-0000","Tavern (city)","2019-10-16","1212 8TH STREET","Alamosa","CO",811013039
"THE RUBI SLIPPER LLC","RUBI SLIPPER","07-83379-0000","Tavern (city)","2019-09-19","506 STATE STREET","Alamosa","CO",811012648
"ROCK CREEK GROUP, INC.","ROCK CREEK TAVERN","03-10226","Hotel & Restaurant (county)","2019-08-14","357 HIGHWAY 7 BUSINESS","Allenspark","CO",80510
"ROCK CREEK GROUP LLC","ROCK CREEK TAVERN & PIZZERIA","03-05301","Tavern (county)","2019-10-20","6 SKI ROAD","Allenspark","CO",80510
"KENNETH K KVOLS","FERNCLIFF LIQUOR","03-09975","Liquor Store (county)","2019-09-18","26 MAIN STREET","Allenspark","CO",80510
"LANE LLOYD C","LANE GUEST RANCH","03-10668","Hotel & Restaurant (county)","2019-07-16","11957 HWY 7","Allenspark","CO",805109622
"WILD BASIN INC","WILD BASIN LODGE AND EVENT CENTER","26-41466-0000","Hotel & Restaurant (county)","2019-06-24","1130 CR 84W","Allenspark","CO",805109712
"GALLEGOS MELANIE R","HOOSIER DADDY LIQUORS","42-75773-0000","Liquor Store (city)","2019-11-17","17 S MAIN STREET","Alma","CO",80420
"CAFE IN THE CLOUDS LLC","ALMA COFFEEHOUSE","03-08478","Hotel & Restaurant (city)","2019-09-19","131 NORTH MAIN STREET","Alma","CO",80420
"SOUTH PARK SALOON 106000, LLC","SOUTH PARK SALOON","03-06637","Tavern (city)","2019-06-20","24 NORTH MAIN STREET","Alma","CO",80420
"THREE RIVERS RESORT INC","THREE RIVERS RESORT","05-23848-0002","Fermented Malt Beverage On/Off (county)","2019-06-21","130 COUNTY RD 742 BLD B","Almont","CO",812109604
"ROBERT CORPORATION","HARMEL'S RANCH RESORT","04-00114","Fermented Malt Beverage Off (county)","2019-06-17","6748 CR 742","Almont","CO",81210
"TAYLOR PARK TRADING POST INC","TAYLOR PARK TRADING POST","28-12166-0000","Fermented Malt Beverage Off (county)","2019-03-28","23044 COUNTY RD 742","Almont","CO",81210
"TAYLOR PARK MARINA LTD","TAYLOR PARK MARINA","24-73893-0002","Liquor Store (county)","2019-06-15","21700 COUNTY RD #742","Almont","CO",81210
"THREE RIVERS SMOKEHOUSE","THREE RIVERS SMOKEHOUSE","03-06291","Hotel & Restaurant (county)","2020-04-17","#130 COUNTY ROAD #742","Almont","CO",81210
"IRWIN BACKCOUNTRY GUIDES LLC","TAYLOR RIVER LODGE","03-04714","Hotel & Restaurant (county)","2019-07-06","10931 COUNTY ROAD 742","Almont","CO",81210
"ALMONT RESORT INC","ALMONT RESORT","26-36342-0000","Hotel & Restaurant (county)","2020-02-06","10209 HWY 135","Almont","CO",81210
"ROBERTS CORPORATION","HARMEL'S RANCH RESORT","03-01581","Hotel & Restaurant (county)","2019-06-17","6748 CR 742","Almont","CO",81210
"KIRK SUPERS INC","ANTON SUPER","07-78329-0002","Fermented Malt Beverage Off (county)","2019-10-29","25980 HWY 36","Anton","CO",80801
"CUMBRES & TOLTEC OPERATING LLC","CUMBRES & TOLTEC SCENIC RAILROAD","03-03110","Optional Premises (county)","2019-06-12","CUMBRES PASS STATION 37D01'15.2","Antonito","CO",81120
"CUMBRES TOLTEC OPERATING LLC","CUMBRES & TOLTEC SCENIC RAILROAD","03-01259","Public Transportation","2019-04-28","5250 STATE HIGHWAY 285","Antonito","CO",81120
"RAINBOW SUPPER CLUB LLC THE","RAINBOW SUPPER CLUB THE","15-79786-0000","Hotel & Restaurant (county)","2019-09-20","6591 US HWY 285","Antonito","CO",81120
"DURAN DORA P","DOS HERMANAS RESTRNT","09-74684-0000","Hotel & Restaurant (city)","2019-05-14","435 MAIN","ANTONITO","CO",81120
"GARCIA GLORIA","DUTCH MILL TAVERN","07-08937-0000","Tavern (city)","2019-11-24","407 1/2 MAIN ST","Antonito","CO",811209901
"HOMETOWN LIQUOR & SPIRITS LLC","HOME TOWN LIQUOR & SPIRITS LLC","03-05212","Liquor Store (city)","2019-10-07","528 MAIN STREET","Antonito","CO",81120
"LOYDE NEAL LLC","HELENS LIQUORS","42-75310-0000","Liquor Store (city)","2019-02-09","523 MAIN ST","Antonito","CO",81120
"SAN MARCIAL HOLDINGS LLC","LONE WOLF BAR & GRILL","40-37858-0000","Tavern (county)","2019-07-04","20 SUNSET TRAIL LOT 32 BLK 4","Arboles","CO",81121
"PIEDRA PEAK GENERAL STORE LLC","PIEDRA PEAK GENERAL STORE","14-72951-0000","Liquor Store (county)","2019-05-01","53 COUNTY ROAD 982","Arboles","CO",81121
"CRAZYHOUSE LLC","TOWN CENTER LIQUORS","43-00005-0000","Liquor Store (city)","2019-07-09","14455 W 64TH AVE","ARVADA","CO",80403
"GARCIA'S BROTHERS INC","LOS 3 GARCIAS MEXICAN FOOD","03-07486","Hotel & Restaurant (city)","2019-05-03","5175 WEST 68TH AVENUE","Arvada","CO",80003
"3-S LIQUORS INC","3-S LIQUORS","11-74301-0000","Liquor Store (city)","2019-12-31","8031 WADSWORTH UNIT B-7","Arvada","CO",800031645
"ARVADA 2BT LLC","BOUT TIME PUB AND GRUB","03-04162","Hotel & Restaurant (city)","2020-02-16","5225 W 80TH AVE UNIT A KING SQUARE CENTER","Arvada","CO",80003
"ROYAL GARDEN ASIAN GRILL INC","HEAVEN DRAGON","41-76130-0000","Hotel & Restaurant (city)","2020-01-30","16255 W 64TH AVE #15","Arvada","CO",804037400
"SANTERAMOS PIZZA LLC","SANTERAMOS PIZZA","03-10400","Hotel & Restaurant (city)","2019-08-19","8410 WADSWORTH BOULEVARD UNITS E & D","Arvada","CO",80003
"SAFEWAY STORES 45 INC","SAFEWAY STORE #1998","21-70663-0041","Fermented Malt Beverage Off (city)","2020-01-08","7651 W 80TH AV","Arvada","CO",800054434
"7-ELEVEN, INC.","7-ELEVEN STORE 38226H","04-00812","Fermented Malt Beverage Off (city)","2019-07-16","8790 INDIANA STREET","Arvada","CO",80005
"BRIONES INC","LAS POTRANCAS","42-14605-0000","Hotel & Restaurant (city)","2020-02-27","6610 WADSWORTH BLVD","Arvada","CO",800033946
"ASUNTA ENTERPRISES INC","3 SONS ITALIAN RESTAURANT & BAR","41-66731-0003","Hotel & Restaurant (city)","2019-04-29","14805 WEST 64TH AVENUE  SUITE C","Arvada","CO",800070103
"SAWAGED OSAMA W","WADSWORTH LIQUOR","40-12718-0000","Liquor Store (city)","2019-08-15","6781-6783 WADSWORTH BLVD","Arvada","CO",800033947
"LEDA INC","ARVADA VILLA PIZZERIA","03-10039","Hotel & Restaurant (city)","2019-06-05","9609 WEST 57TH PLACE","Arvada","CO",80002
"GALLERY 1874 LLC","GALLERY 1874","03-08788","Lodging & Entertainment (City)","2019-11-26","5665 OLDE WADSWORTH BOULEVARD","Arvada","CO",80002
"APEX  PARK AND RECREATION  DISTRICT","INDIAN TREE GOLF COURSE CLUBHSE REST","11-05749-0000","Hotel & Restaurant / Optional (city)","2020-02-05","7555 WADSWORTH BLVD","Arvada","CO",800032762
"TA2D INC","12 VOLT TAVERN","41-10237-0000","Tavern (city)","2019-10-21","7514 GRANDVIEW AVENUE","Arvada","CO",80002
"GOLDEN CREEK LIQUORS LLC","ROSSI'S LIQUORS","42-96942-0000","Liquor Store (city)","2020-02-14","12399 WEST 64TH AVENUE","Arvada","CO",800044015
"RIB CITY GRILL  ARVADA INC","RIB CITY GRILL","12-69715-0000","Hotel & Restaurant (city)","2019-06-20","14705 W 64TH AVE SUITE D BLDG 7","ARVADA","CO",800043545
"CHIPOTLE MEXICAN GRILL INC","CHIPOTLE MEXICAN GRILL","24-71530-0014","Hotel & Restaurant (city)","2019-06-09","5324 WADSWORTH #G","ARVADA","CO",800023732
"LE'S WHISKY LIQUOR LLC","ROYAL LIQUOR","03-05617","Liquor Store (city)","2019-12-16","7735 WADSWORTH BLVD UNIT 21","Arvada","CO",80003
"ARVADA LIQUOR MART INC","ARVADA LIQUOR MART","28-10049-0000","Liquor Store (city)","2020-02-17","9528 WEST 58TH PLACE  SUITE 100","Arvada","CO",80002
"APPLE COLORADO LLC","APPLEBEES NEIGHBORHOOD GRILL & BAR","03-00881","Hotel & Restaurant (city)","2020-03-20","5265 WADSWORTH BYPASS","Arvada","CO",80002
"SO RADISH ARVADA, LLC","SO RADISH","03-10456","Hotel & Restaurant (city)","2019-09-18","5711 OLDE WADSWORTH BLVD","Arvada","CO",80002
"CARNICERIA TAQUERIA LA PASADITA INC","CARNICERIA Y TAQUERIA LA PASADITA","28-68706-0000","Hotel & Restaurant (county)","2019-10-27","5330 SHERIDAN BLVD","Arvada","CO",80002
"LITTLE PUB #25 LLC","FOUR BARREL BBQ","03-04165","Hotel & Restaurant (city)","2020-02-16","7702 RALSTON RD","Arvada","CO",80002
"RT DENVER FRANCHISE LP","RUBY TUESDAY #2163","40-93861-0001","Hotel & Restaurant (city)","2019-05-01","5525 WADSWORTH","Arvada","CO",800023105
"PUB & GRUB INC","RALSTON LOUNGE","35-16251-0000","Tavern (city)","2020-02-06","6420 WARD RD","Arvada","CO",800042461
"3N VENTURES LLC","SHERIDAN'S LIQUOR","40-67732-0000","Liquor Store (city)","2019-07-24","8075 SHERIDAN BLVD UNIT E","ARVADA","CO",800031957
"YONG XIN CORPORATION","MT FUJI SUSHI & HIBACHI","03-03515","Hotel & Restaurant (city)","2019-10-07","12322 W 64TH AVE","Arvada","CO",80004
"GRANILLO MONTEREY HOUSE INC","MONTEREY HOUSE","03-00605","Hotel & Restaurant (city)","2020-02-21","9848, 9868 WEST 60TH AVENUE","Arvada","CO",80004
"QDOBA RESTAURANT CORPORATION","QDOBA MEXICAN EATS","28-14915-0008","Hotel & Restaurant (city)","2019-10-19","8031 WADSWORTH BLVD UNIT B2","Arvada","CO",80003
"VITAMIN COTTAGE NATURAL FOOD MARKETS INC","NATURAL GROCERS","04-01117","Fermented Malt Beverage Off (city)","2020-03-03","7745 NORTH WADSWORTH BLVD UNIT A","Arvada","CO",80003
"NEW IMAGE BREWING COMPANY LLC","NEW IMAGE BREWING COMPANY","03-05174","Brew Pub (city)","2019-10-15","5620-5624 YUKON STREET","Arvada","CO",80002
"AGLAHE INC","EL TAPATIO","42-78594-0000","Hotel & Restaurant (city)","2019-04-27","5390 WADSWORTH BYPASS","Arvada","CO",80002
"ODYSSEY BEERWERKS, LLC","ODYSSEY BEERWERKS, LLC","03-00947","Wholesale Beer (malt liquor)","2019-04-03","5535 W 56TH AVE, STE 107-108","Arvada","CO",80002
"AIS LLC","SIMMS LIQUOR","42-29478-0000","Liquor Store (city)","2019-08-10","11651 W 64TH AVE UNIT E-6","Arvada","CO",80004
"ARVADA CITY OF","ARVADA EVENTS","11-94388-0002","Hotel & Restaurant (city)","2019-09-29","6901 WADSWORTH BLVD","Arvada","CO",80003
"WMU, LLC","FLIGHTS WINE CAFE","03-10996","Hotel & Restaurant (city)","2020-01-10","7714 GRANDVIEW AVENUE","Arvada","CO",80002
"LIGHT RAIL GALLERY, LLC","LIGHT RAIL GALLERY","03-09737","Lodging & Entertainment (City)","2019-06-21","5771 OLDE WADSWORTH BOULEVARD","Arvada","CO",80002
"LARKBURGER OF COLORADO LLC","LARK SPOT","42-90984-0002","Beer & Wine (city)","2019-06-13","8770 WADSWORTH BLVD UNIT B","Arvada","CO",800030927
"SUNCOR ENERGY SALES INC","SHELL","41-44268-0005","Fermented Malt Beverage Off (city)","2019-11-19","7970 WADSWORTH BLVD","Arvada","CO",800032110
"GURU INC & 7-ELEVEN INC","7-ELEVEN STORE 19136A","04-00185","Fermented Malt Beverage Off (city)","2019-09-15","6490 WARD RD","Arvada","CO",80004
"SIX A LLC","VINELANDS LIQUORS","41-19950-0000","Liquor Store (city)","2019-10-10","8770 WADSWORTH UNIT K","Arvada","CO",800030927
"LA PROVA LLC","TAUNAZ TAVERN","03-01230","Tavern (city)","2019-04-09","10480 RALSTON ROAD","Arvada","CO",80004
"TOKYO INC","TOKYO JOES","23-57426-0025","Hotel & Restaurant (city)","2019-07-08","8770 WADSWORTH BLVD UNIT A","Arvada","CO",800030927
"BD OF COLORADO LLC","BAD DADDY'S BURGER BAR","03-07978","Hotel & Restaurant (city)","2019-05-30","7450 B WEST 52ND AVENUE  SUITE 204","Arvada","CO",80002
"ARVADA WING COMPANY LLC","WINGSTOP OF WEST ARVADA","03-08540","Beer & Wine (city)","2019-10-11","9515 RALSTON ROAD","Arvada","CO",80002
"STEUBENS INC","STEUBENS","03-05279","Hotel & Restaurant (city)","2019-10-27","7355 RALSTON ROAD","Arvada","CO",80002
"NEPAL ENTERPRISES LLC","NAMASTE INDIA","03-02201","Hotel & Restaurant (city)","2019-12-08","5545 WADSWORTH BYPASS SPACE G","Arvada","CO",80002
"LA PROVA LLC","TAUNAZ TAVERN","03-10828","Hotel & Restaurant (city)","2019-11-26","9604 RALSTON ROAD","Arvada","CO",80004
"TARGET CORPORATION","TARGET STORE T-2021","01-52854-0049","Fermented Malt Beverage Off (city)","2019-09-22","5071 KIPLING STREET","ARVADA","CO",800022251
"MILE HIGH BILLIARDS LLC","MILE HIGH BILLIARDS","03-02070","Tavern (city)","2019-10-16","11651 W 64TH AVE B-3","Arvada","CO",80004
"NAGINA INC","RALSTON FOOD & GAS","04-01043","Fermented Malt Beverage Off (city)","2020-01-02","10440 RALSTON ROAD","Arvada","CO",80004
"MAJESTIC LIQUOR LLC","MAJESTIC LIQUOR","42-89075-0000","Liquor Store (city)","2020-03-10","12385 W 58TH AVE","Arvada","CO",80002
"FIRST CORKED LLC","SILVER VINES WINERY","03-09526","Limited Winery","2020-05-02","6340 WEST 56TH AVENUE #5","Arvada","CO",80002
"MIKA SUSHI INC","MIKA SUSHI INC","03-07582","Hotel & Restaurant (city)","2020-03-06","12650 WEST 64TH AVENUE UNIT B2","Arvada","CO",80004
"KIKU CORPORATION","KOKORO RESTAURANT","21-62618-0002","Hotel & Restaurant (city)","2019-08-25","5535 WADSWORTH BY PASS","Arvada","CO",80002
"DONAVON BEVERAGE, LLC","DONAVON BREWING COMPANY","03-09989","Manufacturer (brewery)","2019-08-07","10600 WEST 73RD PLACE","Arvada","CO",80005
"MILE HIGH WINECELLARS LLC","MILE HIGH WINECELLARS","42-70912-0000","Liquor Store (city)","2019-11-05","15400 W 64TH AVE #E-7","Arvada","CO",80007
"ZENITH DISTRIBUTION INC","ZENITH DISTRIBUTION INC","03-00987","Wholesale (vinous & spirituous)","2019-06-03","6601 INDIANA ST","Arvada","CO",80007
"KNOCK ONE BACK LIQUORS, LLC","KNOCK ONE BACK LIQUORS","03-08078","Liquor Store (city)","2019-08-06","7370 W 52ND AVENUE","Arvada","CO",80002
"BPOE LODGE 2278 ARVADA","BPOE LODGE 2278 ARVADA","11-20823-0001","Club License (city)","2019-12-31","5700 YUKON ST","Arvada","CO",80002
"ARVADA CENTER FOR THE ARTS AND HUMANITIES","ARVADA CENTER FOR THE ARTS AND HUMANITIES","03-06635","Hotel & Restaurant (city)","2019-06-20","6901 WADSWORTH BOULEVARD","Arvada","CO",80003
"APRO LLC","MY GOODS MARKET #6524","04-00459","Fermented Malt Beverage Off (city)","2019-10-18","6393 WARD ROAD","Arvada","CO",80004
"COCO INC","THE BUTCHERY","03-10827","Hotel & Restaurant (city)","2019-11-29","7923 ALLISON WAY","Arvada","CO",80005
"E C B ENTERPRISES INC","BEAU JO'S PIZZA","21-22187-0002","Hotel & Restaurant (city)","2019-05-31","7525 WEST 53RD AVENUE","Arvada","CO",800023720
"EL AGAVE AZUL INC","EL TEQUILENO FAMILY MEXICAN RESTAURANT","42-29606-0000","Hotel & Restaurant (city)","2019-09-18","12391 WEST 64TH AVENUE","Arvada","CO",800044015
"PHO 65 LLC","PHO 65","03-06796","Hotel & Restaurant (city)","2019-08-25","6530 WADSWORTH BOULEVARD #275","Arvada","CO",80003
"BLUE FRONT INC","OLDE TOWN TAVERN & GRILL","23-88891-0000","Tavern (city)","2019-12-09","7355 RALSTON RD R-1000","ARVADA","CO",800032574
"BALEFIRE GOODS LTD","BALEFIRE GOODS LTD","03-09021","Art Gallery Permit","2019-11-13","7417 GRANDVIEW AVENUE","Arvada","CO",80002
"TREASURE POT RESTAURANT INC","TREASURE POT RESTAURANT","24-46348-0000","Hotel & Restaurant (city)","2019-12-20","6375 SIMMS STREET","Arvada","CO",80004
"BGB ENTERPRISES LLC","MANNEKEN FRITES","42-90746-0000","Tavern (city)","2019-06-12","5616 WADSWORTH BLVD","ARVADA","CO",80002
"TNT SPORTS LOUNGE LLC","TNT SPORTS LOUNGE","03-10839","Tavern (city)","2019-11-29","5127 WEST 64TH AVENUE","Arvada","CO",80003
"THAI HOUSE INC","THAI HOUSE","41-05272-0000","Hotel & Restaurant (city)","2020-03-25","8025 SHERIDAN UNIT Q","Arvada","CO",800031926
"TARGET CORPORATION","TARGET STORES T-0048","01-52854-0014","Fermented Malt Beverage Off (city)","2019-05-18","7899 WADSWORTH BLVD","Arvada","CO",800032107
"TOKYO INC","TOKYO JOE'S","03-09020","Beer & Wine (city)","2019-12-14","9585 RALSTON ROAD SUITE 300","Arvada","CO",80002
"JASKIRAT INC","MARSHALL LIQUOR II","03-11218","Liquor Store (city)","2020-02-26","10378-80 RALSTON ROAD","Arvada","CO",80004
"TAP IT INC.","TAP IT TAVERN","03-10034","Hotel & Restaurant (city)","2019-07-29","5515 OLDE WADSWORTH BOULEVARD #1","Arvada","CO",80002
"SUPALKA & DELENNA INC","TWO PONDS WINE & SPIRITS","03-09601","Liquor Store (city)","2020-03-12","9969 WEST 80TH AVENUE","Arvada","CO",80005
"DILLON COMPANIES LLC","KING SOOPERS #3","01-10779-0102","Fermented Malt Beverage Off (city)","2019-11-04","6350 SHERIDAN BLVD","Arvada","CO",800036602
"DILLON COMPANIES LLC","KING SOOPERS #36","01-10779-0052","Fermented Malt Beverage Off (city)","2019-12-22","8031 WADSWORTH","Arvada","CO",80003
