"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","06C","Soap and Drying Devices",5,"Critical","Out",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","13C","No Reuse of Single Service Articles",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","05C","Backflow Back Siphonage",0,"Critical","In",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","14B","Garbage and Refuse",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","10A","Food-Contact Surfaces Construction",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","02F","Training Needed",0,"Critical","In",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","09B","Food Protected from Contamination",0,"Non-Critical","Not Observed",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","02E","Smoking Eating Drinking",0,"Critical","In",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","03G","Adequate Equipment to Maintain Food Temperatures",0,"Critical","In",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","03A","Cooling Methods",0,"Critical","Not Observed",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","06B","Accessible",10,"Critical","Out",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","14F","Locker Rooms",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","05D","Sewage Disposal",0,"Critical","In",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","14C","Floors Walls Ceilings",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","01A","Approved Source",0,"Critical","In",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","02G","No Bare Hand Contact",0,"Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","08B","Properly Labeled",0,"Critical","In",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","07C","Animals Prohibited",0,"Critical","In",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","07A","Evidence of Insects or Rodents",0,"Critical","In",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","14B","Garbage and Refuse",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","14D","Lighting",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","12C","Dishwashing Operations",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","04C","In Place",0,"Critical","In",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","10B","Non-Food Contact Surfaces Construction",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","14I","Physical Facilities Adequate Toilet Facilities",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","15B","Linen Properly Stored",0,"Non-Critical","Not Observed",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","12B","Non-Food Contact Surfaces Cleaning",0,"Non-Critical","Not Observed",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","09B","Food Protected from Contamination",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","08B","Properly Labeled",0,"Critical","In",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","12B","Non-Food Contact Surfaces Cleaning",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","08B","Properly Labeled",5,"Critical","Out",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","02B","Wounds Properly Covered",0,"Critical","Not Observed",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","14G","Premises Maintained",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","08C","Properly Used",0,"Critical","In",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","03C","Hot Hold at 135 Degrees Farenheit or Greater",0,"Critical","In",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","14A","Plumbing Installed Maintained",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","14F","Locker Rooms",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","05D","Sewage Disposal",0,"Critical","In",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","10C","Dishwashing Facilities",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","14G","Premises Maintained",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0005269","BLACK CAT @ BLDR FARM MRKT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"Boulder","CO","80302","SPECIAL EVENT","SPECIAL EVENT","ROUTINE INSPECTION","2018-04-14","09A","Original Container Properly Labeled",0,"Non-Critical","Not Observed",0,"1964 13TH ST
Boulder, CO 80302
(40.017825, -105.278567)"
