"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0005145","LAS CAZUELAS","917 MAIN ST","917",NULL,"MAIN","ST",NULL,"LONGMONT","CO","80504","GROCERY STORE W DELI 0 TO 15000 SQ FT","GROCERY FINISHED FOODS","REGULAR INSPECTION","2017-07-25","01C","Cross Contamination","20","Critical","Out",100,"917 MAIN ST
LONGMONT, CO 80504
(40.174493, -105.10247)"
"FA0000570","NEDERLAND MIDDLE/SENIOR HIGH SCHOOL","597 COUNTY 130 RD","597",NULL,"COUNTY 130","RD",NULL,"NEDERLAND","CO","80466","NO FEE LICENSE K12 SCHOOLS NON PROFIT","SCHOOLS","REGULAR INSPECTION","2017-05-10","14A","Plumbing Installed Maintained","1","Non-Critical","Out",1,"597 COUNTY 130 RD
NEDERLAND, CO 80466"
"FA0001081","YOLK N AROUND ART CC","2211 17TH AVE","2211",NULL,"17TH","AVE",NULL,"LONGMONT","CO","80501","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2013-05-23","03C","Hot Hold at 135 Degrees Farenheit or Greater","15","Critical","Out",28,"2211 17TH AVE
LONGMONT, CO 805019763
(40.188567, -105.127023)"
"FA0000217","COSTCO WHOLESALE 480","600 MARSHALL RD","600",NULL,"MARSHALL","RD",NULL,"SUPERIOR","CO","80027","GROCERY STORE W DELI MORE THAN 15000 SQ FT","GROCERY FINISHED FOODS","REGULAR INSPECTION","2014-01-10","09A","Original Container Properly Labeled","1","Non-Critical","Out",21,"600 MARSHALL RD
SUPERIOR, CO 80027
(39.960458, -105.173554)"
"FA0005310","BURRITOS EL DON (MOBILE)","2255 MAIN ST UNIT 103","2255",NULL,"MAIN","ST","103","Longmont","CO","80504","MOBILE UNIT FULL FOOD SERVICE","MOBILE UNITS","REGULAR INSPECTION","2018-07-30","01C","Cross Contamination","20","Critical","Out",55,"2255 MAIN ST UNIT 103
Longmont, CO 80504
(40.198059, -105.102433)"
"FA0001587","PANADERY Y NEVERIA GUANAJUATO","1630 MAIN ST UNIT","1630",NULL,"MAIN","ST","UNIT","LONGMONT","CO","80501","GROCERY STORE W DELI 0 TO 15000 SQ FT","GROCERY FINISHED FOODS","REGULAR INSPECTION","2016-02-09","12C","Dishwashing Operations","2","Non-Critical","Out",25,"1630 MAIN ST UNIT
LONGMONT, CO 80501
(40.187276, -105.102323)"
"FA0001380","BIG DADDY BAGELS","489 N HWY 287 STE 110","489","N","HWY 287",NULL,"110","LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","FOLLOW-UP INSPECTION","2013-01-28","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",15,"489 N HWY 287 STE 110
LAFAYETTE, CO 800268901
(40.002186, -105.102991)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2013-01-04","03A","Cooling Methods","20","Critical","Out",30,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0004635","AYA YAY TACOS","1206 CENTAUR VILLAGE DR","1206",NULL,"CENTAUR VILLAGE","DR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2014-10-08","02D","Hygienic Practices","5","Critical","Out",8,"1206 CENTAUR VILLAGE DR
LAFAYETTE, CO 80026
(39.988632, -105.108438)"
"FA0005310","BURRITOS EL DON (MOBILE)","2255 MAIN ST UNIT 103","2255",NULL,"MAIN","ST","103","Longmont","CO","80504","MOBILE UNIT FULL FOOD SERVICE","MOBILE UNITS","REGULAR INSPECTION","2018-07-30","02F","Training Needed","15","Critical","Out",55,"2255 MAIN ST UNIT 103
Longmont, CO 80504
(40.198059, -105.102433)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2013-07-19","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",25,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0000679","QDOBA MEXICAN GRILL","1625 28TH ST","1625",NULL,"28TH","ST",NULL,"BOULDER","CO","80301","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2016-01-05","12A","Food Contact Surfaces Cleaning","2","Non-Critical","Out",13,"1625 28TH ST
BOULDER, CO 803011001
(40.015368, -105.258483)"
"FA0003565","TIFFIN WALLAH","2416 ARAPAHOE AVE","2416",NULL,"ARAPAHOE","AVE",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2017-03-01","03A","Cooling Methods","20","Critical","Out",112,"2416 ARAPAHOE AVE
BOULDER, CO 80302
(40.014555, -105.262837)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2013-01-04","05B","Hot and Cold Water Under Pressure","10","Critical","Out",30,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","QUICK ASSESSMENT INSPECTION","2013-06-14","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",95,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2018-05-11","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",15,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0003529","YELLOWBELLY","2525 ARAPAHOE AVE UNIT E-1B","2525",NULL,"ARAPAHOE","AVE","E-1B","BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2013-11-25","02D","Hygienic Practices","5","Critical","Out",26,"2525 ARAPAHOE AVE UNIT E-1B
BOULDER, CO 80302
(40.014691, -105.26231)"
"FA0000172","CENTAUR FOOD AND FUEL","1208 CENTAUR VILLAGE DR","1208",NULL,"CENTAUR VILLAGE","DR",NULL,"LAFAYETTE","CO","80026","GROCERY STORE 0 TO 15000 SQ FT","CONVENIENCE STORES","REGULAR INSPECTION","2017-01-30","14D","Lighting","1","Non-Critical","Out",41,"1208 CENTAUR VILLAGE DR
LAFAYETTE, CO 80026
(39.988626, -105.10843)"
"FA0000387","LINDSAYS BOULDER DELI AT HAAGEN DAZ","1148 PEARL ST","1148",NULL,"PEARL","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2014-12-11","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",50,"1148 PEARL ST
BOULDER, CO 803025112
(40.017869, -105.280195)"
"FA0000867","SOUTHERN HILLS MIDDLE SCHOOL","1500 KNOX DR","1500",NULL,"KNOX","DR",NULL,"BOULDER","CO","80305","NO FEE LICENSE K12 SCHOOLS NON PROFIT","SCHOOLS","REGULAR INSPECTION","2014-11-14","14C","Floors Walls Ceilings","1","Non-Critical","Out",4,"1500 KNOX DR
BOULDER, CO 80305
(39.973967, -105.24578)"
"FA0000763","SACRED HEART OF JESUS SCHOOL","1317 MAPLETON ST","1317",NULL,"MAPLETON","ST",NULL,"BOULDER","CO","80304","NO FEE LICENSE K12 SCHOOLS NON PROFIT","SCHOOLS","REGULAR INSPECTION","2015-11-02","14A","Plumbing Installed Maintained","1","Non-Critical","Out",5,"1317 MAPLETON ST
BOULDER, CO 80304
(40.02126, -105.279396)"
"FA0004866","ABUELITAS EMPANADAS","332 MAIN ST UNIT A5","332",NULL,"MAIN","ST","A5","LONGMONT","CO","80501","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2016-12-20","02E","Smoking Eating Drinking","10","Critical","Out",51,"332 MAIN ST UNIT A5
LONGMONT, CO 80501
(40.164628, -105.102515)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2013-07-19","06C","Soap and Drying Devices","5","Critical","Out",25,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0005067","PHO HUONG VIET","1232 S HOVER ST UNIT C200","1232","S","HOVER","ST","C200","LONGMONT","CO","80501","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2017-06-26","08B","Properly Labeled","5","Critical","Out",60,"1232 S HOVER ST UNIT C200
LONGMONT, CO 80501
(40.145147, -105.13073)"
"FA0000435","TEQUILA FAMILY MEXICAN RESTAURANT","451 S PRATT PKWY","451","S","PRATT","PKWY",NULL,"LONGMONT","CO","80501","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2016-12-21","03G","Adequate Equipment to Maintain Food Temperatures","20","Critical","Out",127,"451 S PRATT PKWY
LONGMONT, CO 805016438
(40.153659, -105.107025)"
"FA0000744","CRANE  HOLLOW CAFE","7504 HYGIENE RD","7504",NULL,"HYGIENE","RD",NULL,"HYGIENE","CO","80503","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2013-09-19","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",15,"7504 HYGIENE RD
HYGIENE, CO 80503
(40.188709, -105.177959)"
"FA0002294","JIN CHAN ZHANG","2835 28TH ST","2835",NULL,"28TH","ST",NULL,"BOULDER","CO","80301","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2016-02-11","09B","Food Protected from Contamination","2","Non-Critical","Out",74,"2835 28TH ST
BOULDER, CO 803011223
(40.028127, -105.258397)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2016-06-09","06C","Soap and Drying Devices","5","Critical","Out",5,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0004950","GASTRONAUTS (INSIDE AMERICAN LEGION)","1150 PINE ST","1150",NULL,"PINE","ST",NULL,"LOUISVILLE","CO","80027","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2017-07-06","08C","Properly Used","15","Critical","Out",104,"1150 PINE ST
LOUISVILLE, CO 80027
(39.977062, -105.128763)"
"FA0001638","CAPRESE TRATTORIA","1067 S HOVER RD UNIT D","1067","S","HOVER","RD","D","LONGMONT","CO","80501","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2013-09-19","02D","Hygienic Practices","5","Critical","Out",11,"1067 S HOVER RD UNIT D
LONGMONT, CO 80501
(40.147984, -105.130853)"
"FA0004624","BOULDER PREPARATORY HIGH SCHOOL","5075 CHAPARRAL CT UNIT 1","5075",NULL,"CHAPARRAL","CT","1","BOULDER","CO","80301","NO FEE LICENSE K12 SCHOOLS NON PROFIT","SCHOOLS","REGULAR INSPECTION","2017-02-15","04A","Manual","10","Critical","Out",11,"5075 CHAPARRAL CT UNIT 1
BOULDER, CO 80301
(40.066861, -105.202808)"
"FA0001623","OREGANOS PIZZA BISTRO","2690 BASELINE RD","2690",NULL,"BASELINE","RD",NULL,"BOULDER","CO","80305","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2014-08-07","06C","Soap and Drying Devices","5","Critical","Out",85,"2690 BASELINE RD
BOULDER, CO 80305
(40.000305, -105.260502)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2013-07-19","08B","Properly Labeled","5","Critical","Out",25,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0000656","BROOKLYN PIZZA","1647 ARAPAHOE AVE","1647",NULL,"ARAPAHOE","AVE",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2015-08-03","06C","Soap and Drying Devices","5","Critical","Out",22,"1647 ARAPAHOE AVE
BOULDER, CO 80302
(40.014587, -105.272762)"
"FA0002868","MORNING GLORY CAFE","1377 FOREST PARK CIR UNIT 101","1377",NULL,"FOREST PARK","CIR","101","LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2014-04-15","01F","Consumer Advisory","5","Critical","Out",43,"1377 FOREST PARK CIR UNIT 101
LAFAYETTE, CO 80026
(40.014204, -105.127992)"
"FA0005310","BURRITOS EL DON (MOBILE)","2255 MAIN ST UNIT 103","2255",NULL,"MAIN","ST","103","Longmont","CO","80504","MOBILE UNIT FULL FOOD SERVICE","MOBILE UNITS","REGULAR INSPECTION","2018-07-30","03C","Hot Hold at 135 Degrees Farenheit or Greater","15","Critical","Out",55,"2255 MAIN ST UNIT 103
Longmont, CO 80504
(40.198059, -105.102433)"
"FA0005310","BURRITOS EL DON (MOBILE)","2255 MAIN ST UNIT 103","2255",NULL,"MAIN","ST","103","Longmont","CO","80504","MOBILE UNIT FULL FOOD SERVICE","MOBILE UNITS","REGULAR INSPECTION","2018-07-30","02E","Smoking Eating Drinking","5","Critical","Out",55,"2255 MAIN ST UNIT 103
Longmont, CO 80504
(40.198059, -105.102433)"
"FA0003895","BURGER RADIO (MOBILE)","1208 CENTAUR VILLAGE DR","1208",NULL,"CENTAUR VILLAGE","DR",NULL,"LAFAYETTE","CO","80026","MOBILE UNIT FULL FOOD SERVICE","MOBILE UNITS","REGULAR INSPECTION","2014-03-13","02E","Smoking Eating Drinking","10","Critical","Out",10,"1208 CENTAUR VILLAGE DR
LAFAYETTE, CO 80026
(39.988626, -105.10843)"
"FA0000626","ALL AMERICAN GAS","210 N PUBLIC RD","210","N","PUBLIC","RD",NULL,"LAFAYETTE","CO","80026","LIMITED FOOD SERVICE CONVENIENCE OTHER","CONVENIENCE STORES","REGULAR INSPECTION","2014-09-11","06C","Soap and Drying Devices","5","Critical","Out",23,"210 N PUBLIC RD
LAFAYETTE, CO 800262441
(39.999964, -105.090482)"
"FA0003809","TRES REYNAS","2690 28TH ST UNIT G","2690",NULL,"28TH","ST","G","BOULDER","CO","80301","GROCERY STORE 0 TO 15000 SQ FT","GROCERY FINISHED FOODS","REGULAR INSPECTION","2013-01-15","10A","Food-Contact Surfaces Construction","2","Non-Critical","Out",7,"2690 28TH ST UNIT G
BOULDER, CO 80301
(40.027017, -105.258403)"
"FA0002178","TIBET KITCHEN","2359 ARAPAHOE AVE","2359",NULL,"ARAPAHOE","AVE",NULL,"BOULDER","CO","80303","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2014-03-14","12B","Non-Food Contact Surfaces Cleaning","1","Non-Critical","Out",56,"2359 ARAPAHOE AVE
BOULDER, CO 80303
(40.014659, -105.263247)"
"FA0001312","HERSHEYS MARKET","4501 BROADWAY ST","4501",NULL,"BROADWAY","ST",NULL,"BOULDER","CO","80304","RESTAURANT 0 TO 100 SEATS","CONVENIENCE STORES","REGULAR INSPECTION","2014-08-14","14C","Floors Walls Ceilings","1","Non-Critical","Out",20,"4501 BROADWAY ST
BOULDER, CO 80304
(40.056603, -105.282124)"
"FA0000976","EVEREST RESTAURANT","2130 MAIN ST UNIT 15","2130",NULL,"MAIN","ST","15","LONGMONT","CO","80501","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2015-07-09","13B","Single Service Articles Stored Dispensed Used","1","Non-Critical","Out",50,"2130 MAIN ST UNIT 15
LONGMONT, CO 80501
(40.196791, -105.102409)"
"FA0000359","GONDOLIER ITALIAN EATERY","1217 S MAIN ST","1217","S","MAIN","ST",NULL,"LONGMONT","CO","80501","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2018-05-01","14C","Floors Walls Ceilings","1","Non-Critical","Out",33,"1217 S MAIN ST
LONGMONT, CO 80501
(40.144435, -105.102494)"
"FA0002856","PMR CAFE THE","6165 GUNBARREL AVE","6165",NULL,"GUNBARREL","AVE",NULL,"BOULDER","CO","80301","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2018-03-21","01C","Cross Contamination","20","Critical","Out",20,"6165 GUNBARREL AVE
BOULDER, CO 80301
(40.061802, -105.210033)"
"FA0003305","CHICK FIL A AT LONGMONT","215 KEN PRATT BLVD","215",NULL,"KEN PRATT","BLVD",NULL,"LONGMONT","CO","80501","RESTAURANT 101 TO 200 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2017-07-21","02E","Smoking Eating Drinking","10","Critical","Out",66,"215 KEN PRATT BLVD
LONGMONT, CO 80501
(40.152385, -105.096005)"
"FA0004647","REELFISH FISH AND CHIPS","2770 ARAPAHOE RD UNIT 112","2770",NULL,"ARAPAHOE","RD","112","LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2014-12-10","02E","Smoking Eating Drinking","10","Critical","Out",15,"2770 ARAPAHOE RD UNIT 112
LAFAYETTE, CO 80026
(40.014659, -105.131651)"
"FA0000360","DELI ZONE","2900 VALMONT RD UNIT D 1","2900",NULL,"VALMONT","RD","D 1","BOULDER","CO","80301","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","FOLLOW-UP INSPECTION","2016-08-04","03G","Adequate Equipment to Maintain Food Temperatures","20","Critical","Out",20,"2900 VALMONT RD UNIT D 1
BOULDER, CO 803011344
(40.029109, -105.255597)"
"FA0004837","BOULDER DEPOT ROADHOUSE THE","2366 JUNCTION PL","2366",NULL,"JUNCTION","PL",NULL,"BOULDER","CO","80302","RESTAURANT MORE THAN 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2016-01-07","14A","Plumbing Installed Maintained","1","Non-Critical","Out",119,"2366 JUNCTION PL
BOULDER, CO 80302"
"FA0000354","BRASSERIE TEN TEN","1011 WALNUT ST STE 100","1011",NULL,"WALNUT","ST","100","BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2013-11-06","01F","Consumer Advisory","5","Critical","Out",73,"1011 WALNUT ST STE 100
BOULDER, CO 803025114
(40.016393, -105.281975)"
"FA0004973","NIKKO SUSHI BAR @ LUCKYS MARKET","695 S BROADWAY ST","695","S","BROADWAY","ST",NULL,"BOULDER","CO","80305","RESTAURANT 0 TO 100 SEATS","GROCERY FINISHED FOODS","REGULAR INSPECTION","2016-09-06","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",15,"695 S BROADWAY ST
BOULDER, CO 80305
(39.983299, -105.248005)"
"FA0000237","FALAFEL KING","1314 PEARL ST","1314",NULL,"PEARL","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2013-07-30","02E","Smoking Eating Drinking","10","Critical","Out",145,"1314 PEARL ST
BOULDER, CO 803025210
(40.018269, -105.278224)"
"FA0000675","PUMPHOUSE RED ZONE","540 MAIN ST","540",NULL,"MAIN","ST",NULL,"LONGMONT","CO","80501","RESTAURANT MORE THAN 200 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2016-08-05","06C","Soap and Drying Devices","5","Critical","Out",30,"540 MAIN ST
LONGMONT, CO 805015537
(40.168741, -105.102508)"
"FA0003825","ETAIS AT CU","3415 COLORADO AVE","3415",NULL,"COLORADO","AVE",NULL,"BOULDER","CO","80303","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2013-06-10","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",36,"3415 COLORADO AVE
BOULDER, CO 80303
(40.007442, -105.251046)"
"FA0004787","PIZZA GARAGE THE","2675 13TH ST","2675",NULL,"13TH","ST",NULL,"BOULDER","CO","80304","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2017-06-01","12C","Dishwashing Operations","2","Non-Critical","Out",36,"2675 13TH ST
BOULDER, CO 80304
(40.025635, -105.280276)"
"FA0000218","7-ELEVEN 35345A","2250 MOUNTAIN VIEW AVE","2250",NULL,"MOUNTAIN VIEW","AVE",NULL,"LONGMONT","CO","80501","GROCERY STORE W DELI 0 TO 15000 SQ FT","GROCERY FINISHED FOODS","REGULAR INSPECTION","2016-09-19","08A","Properly Stored","10","Critical","Out",57,"2250 MOUNTAIN VIEW AVE
LONGMONT, CO 805013114
(40.18134, -105.130423)"
"FA0000038","SOUTH MOUTH WINGS","1650 BROADWAY ST UNIT A","1650",NULL,"BROADWAY","ST","A","BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2015-02-02","11C","Chemical Test Kits Provided Accessible","1","Non-Critical","Out",35,"1650 BROADWAY ST UNIT A
BOULDER, CO 803026219
(40.013895, -105.278603)"
"FA0000943","RINCON DEL SOL","2350 ARAPAHOE AVE","2350",NULL,"ARAPAHOE","AVE",NULL,"BOULDER","CO","80303","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2016-06-03","09B","Food Protected from Contamination","2","Non-Critical","Out",71,"2350 ARAPAHOE AVE
BOULDER, CO 80303
(40.014615, -105.263881)"
"FA0000976","EVEREST RESTAURANT","2130 MAIN ST UNIT 15","2130",NULL,"MAIN","ST","15","LONGMONT","CO","80501","RESTAURANT 0 TO 100 SEATS","FULL MENU LIMITED SERVICE","REGULAR INSPECTION","2013-08-15","01C","Cross Contamination","20","Critical","Out",106,"2130 MAIN ST UNIT 15
LONGMONT, CO 80501
(40.196791, -105.102409)"
"FA0000162","CHEF KING","1355 SOUTH BOULDER RD C","1355",NULL,"SOUTH BOULDER","RD","C","LOUISVILLE","CO","80027","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2014-01-09","08B","Properly Labeled","5","Critical","Out",20,"1355 SOUTH BOULDER RD C
LOUISVILLE, CO 800272312"
